work_order, service_code
348010, 'PFI10'
321918, 'SFS30'
343151, 'PFI10'
347337, 'PFI10'
341746, 'SFS30'
323855, 'SFS30'
356212, 'SFS30'
344170, 'PFI10'
326087, 'PFI10'
352060, 'PFI10'
342273, 'PFI10'
365814, 'PFI10'
344831, 'PFI10'
335776, 'PFI10'
357681, 'PFI10'
344825, 'PFI10'
333475, 'SFS30'
364505, 'PFI10'
368459, 'SFS30'
333449, 'PFI10'
344819, 'PFI10'
339602, 'SFS30'
365380, 'PFI11'
368868, 'PFI10'
342703, 'SFS30'
333844, 'PFI10'
330381, 'PFI10'
317058, 'SFS30'
337388, 'SFS30'
342717, 'SFS30'
343409, 'PFI10'
355280, 'PFI10'
327170, 'PFI10'
340855, 'PFI10'
335212, 'PFI10'
340841, 'SWM30'
358968, 'PFI10'
356945, 'PFI11'
320623, 'SFS30'
367568, 'SFS30'
335548, 'PFI10'
332541, 'PFI10'
331048, 'PFI10'
340869, 'SFS30'
326520, 'SFS30'
336733, 'SFS30'
327158, 'PFI10'
364854, 'PFI10'
347041, 'PFI10'
348372, 'PFI10'
326483, 'SFS30'
341418, 'PFI10'
334087, 'PFI10'
352316, 'PFI10'
353008, 'PFI10'
336684, 'PFI10'
359243, 'PFI10'
333071, 'PFI10'
366058, 'PFI11'
354954, 'SFS30'
335372, 'SFS30'
342844, 'PFI10'
348399, 'PFI10'
348164, 'SFS30'
353236, 'SFS30'
322395, 'SFS30'
349252, 'PFI10'
323706, 'SFS30'
339986, 'SFS30'
357939, 'PFI10'
339038, 'PFI10'
365035, 'SFS30'
325405, 'SFS30'
365021, 'SFS30'
340289, 'PFI10'
350924, 'PFI10'
316971, 'SFS30'
360617, 'SFS30'
344979, 'PFI10'
343970, 'PFI10'
321893, 'SFS30'
339010, 'SFS30'
322357, 'PFI10'
315289, 'PFI10'
344978, 'PFI10'
330021, 'PFI10'
321892, 'SFS30'
352854, 'SFS30'
339987, 'SFS30'
316964, 'SFS30'
331303, 'PFI10'
365034, 'PFI11'
343795, 'PFI10'
357938, 'PFI10'
346606, 'SFS30'
365961, 'PFI10'
343018, 'PFI10'
336487, 'SFS30'
350716, 'PFI10'
339978, 'PFI10'
352667, 'PFI10'
346612, 'PFI10'
350070, 'PFI10'
324901, 'SFS30'
315276, 'SFS30'
348165, 'SFS30'
340539, 'PFI10'
348603, 'PFI10'
320030, 'SFS30'
314395, 'PFI10'
334045, 'PFI10'
340934, 'PFI10'
328444, 'PFI10'
342845, 'PFI10'
333070, 'PFI10'
354955, 'SFS30'
340920, 'PFI10'
337570, 'SFS30'
353009, 'PFI10'
334092, 'PFI10'
341419, 'PFI10'
336691, 'PFI10'
329799, 'SFS30'
347040, 'SFS30'
345125, 'PFI10'
327159, 'PFI10'
367569, 'SFS30'
333886, 'PFI10'
343391, 'SFS30'
349870, 'PFI10'
354821, 'SFS30'
361642, 'PFI10'
358028, 'PFI10'
343408, 'PFI10'
337389, 'SFS30'
317059, 'SFS30'
332583, 'PFI10'
344415, 'PFI10'
330394, 'SFS30'
343352, 'PFI10'
348207, 'PFI10'
341545, 'SFS30'
367582, 'SFS30'
359478, 'PFI10'
347120, 'SFS30'
363519, 'SFS30'
355901, 'PFI10'
334455, 'PFI10'
368470, 'SFS30'
363525, 'SFS30'
333474, 'SFS30'
353380, 'PFI10'
331277, 'PFI10'
344830, 'PFI10'
335777, 'PFI10'
326086, 'PFI10'
342272, 'PFI10'
328915, 'PFI10'
359120, 'PFI10'
332781, 'PFI10'
314746, 'SFS30'
344171, 'PFI10'
344159, 'SWM30'
358570, 'SFS30'
341021, 'PFI10'
337809, 'PFI10'
354438, 'PFI10'
352049, 'PFI10'
347444, 'PFI10'
315314, 'PFI10'
357127, 'PFI10'
339198, 'PFI10'
314778, 'SWM30'
342270, 'PFI10'
342516, 'PFI10'
359650, 'PFI10'
326084, 'PFI10'
336297, 'SFS30'
321927, 'SFS30'
326090, 'PFI10'
342502, 'PFI10'
337823, 'SFS30'
337610, 'PFI10'
333476, 'SFS30'
368472, 'SFS30'
327371, 'PFI10'
335775, 'PFI10'
344832, 'PFI10'
331275, 'PFI10'
347888, 'PFI10'
352249, 'PFI10'
347122, 'SFS30'
348577, 'PFI10'
312645, 'SFS30'
330396, 'PFI10'
335588, 'SFS30'
356946, 'PFI10'
349866, 'PFI10'
335563, 'PFI10'
354823, 'SFS30'
335211, 'PFI10'
346599, 'PFI10'
363719, 'PFI10'
347877, 'PFI10'
366661, 'SFS30'
336730, 'SFS30'
339403, 'PFI10'
322745, 'SFS30'
322751, 'SFS30'
320620, 'PFI10'
339371, 'SWM30'
307466, 'SWM30'
338696, 'PFI10'
354758, 'PFI10'
345127, 'PFI10'
334090, 'PFI10'
354764, 'PFI10'
336687, 'PFI10'
336693, 'SFS30'
326480, 'SFS30'
334084, 'PFI10'
314432, 'PFI10'
359532, 'SFS30'
342847, 'PFI10'
328446, 'PFI10'
321304, 'SFS30'
333072, 'PFI10'
341631, 'PFI10'
340249, 'SFS30'
346638, 'PFI10'
349251, 'PFI10'
337943, 'SFS30'
350066, 'PFI10'
348629, 'PFI10'
319300, 'SFS30'
357709, 'PFI10'
350072, 'PFI10'
335198, 'SFS30'
334286, 'PFI10'
316999, 'SWM30'
309661, 'PFI10'
350714, 'PFI10'
323711, 'SFS30'
354599, 'PFI10'
333264, 'PFI10'
360628, 'PFI10'
321112, 'SFS30'
328888, 'PFI10'
355863, 'SFS30'
321890, 'SFS30'
321891, 'SFS30'
314194, 'SWM30'
324043, 'SFS30'
339012, 'SFS30'
353585, 'PFI10'
328889, 'PFI10'
360629, 'SFS30'
357085, 'SFS30'
354598, 'PFI10'
345495, 'PFI10'
344953, 'PFI10'
365023, 'SFS30'
336490, 'PFI10'
316740, 'SFS30'
316998, 'SWM30'
337942, 'SFS30'
349250, 'PFI10'
348628, 'PFI10'
348166, 'SFS30'
340248, 'SFS30'
314396, 'PFI10'
315088, 'SFS30'
324533, 'SFS30'
331894, 'PFI10'
314382, 'PFI10'
342846, 'PFI10'
347080, 'PFI10'
326481, 'SFS30'
336692, 'PFI10'
354017, 'PFI10'
316230, 'SWM30'
334091, 'PFI10'
353036, 'PFI10'
354759, 'PFI10'
338697, 'PFI10'
338708, 'PFI10'
360205, 'PFI10'
348589, 'PFI10'
347876, 'PFI10'
363718, 'PFI10'
336731, 'SFS30'
354822, 'SFS30'
331704, 'SFS30'
349867, 'PFI10'
338720, 'PFI10'
331062, 'PFI10'
324309, 'PFI10'
344416, 'PFI10'
330397, 'PFI10'
335589, 'SFS30'
365382, 'PFI11'
356748, 'PFI10'
357456, 'SFS30'
347889, 'PFI10'
334867, 'PFI10'
359686, 'PFI10'
314786, 'SWM30'
334442, 'PFI10'
335774, 'PFI10'
368467, 'SFS30'
344833, 'PFI10'
332769, 'PFI10'
367026, 'PFI10'
347490, 'PFI10'
337822, 'SFS30'
332796, 'SFS30'
342271, 'PFI10'
328916, 'SFS30'
350113, 'SWM30'
326085, 'PFI10'
342517, 'PFI10'
344166, 'PFI10'
314779, 'SWM30'
315301, 'PFI10'
325588, 'SFS30'
326081, 'PFI10'
328912, 'PFI10'
344604, 'PFI10'
332786, 'PFI10'
359127, 'SFS30'
342507, 'PFI10'
345526, 'SFS30'
311177, 'PFI10'
358205, 'PFI10'
314782, 'SWM30'
359682, 'PFI10'
341783, 'SFS30'
332779, 'PFI10'
368463, 'SFS30'
325563, 'SFS30'
335770, 'PFI10'
332590, 'PFI10'
330387, 'PFI10'
315649, 'SFS30'
324480, 'SFS30'
333842, 'PFI10'
336912, 'PFI10'
315113, 'PFI10'
343433, 'PFI10'
348572, 'PFI10'
341556, 'SFS30'
339406, 'SFS30'
315852, 'SFS30'
320631, 'SFS30'
348599, 'PFI10'
320625, 'SFS30'
366670, 'SFS30'
330350, 'PFI10'
331066, 'PFI10'
340847, 'PFI10'
365351, 'PFI10'
335572, 'SFS30'
327176, 'PFI10'
347682, 'SFS30'
343382, 'SFS30'
354761, 'PFI10'
348348, 'PFI10'
363867, 'SFS30'
359537, 'PFI10'
336696, 'PFI10'
340728, 'SFS30'
338693, 'PFI10'
336866, 'SFS30'
353032, 'PFI10'
352338, 'PFI10'
354749, 'SFS30'
338687, 'PFI10'
351802, 'PFI10'
364661, 'SFS30'
314386, 'PFI10'
338678, 'PFI10'
339566, 'PFI10'
342842, 'PFI10'
332369, 'PFI10'
338644, 'SFS30'
364649, 'PFI10'
349254, 'PFI10'
335189, 'PFI10'
340264, 'PFI10'
348638, 'PFI10'
343023, 'PFI10'
348162, 'SFS30'
315271, 'PFI10'
344980, 'PFI10'
348604, 'PFI10'
348837, 'PFI10'
334254, 'PFI10'
355866, 'SFS30'
364477, 'PFI10'
343976, 'PFI10'
339002, 'PFI10'
328641, 'PFI10'
344957, 'PFI10'
326678, 'SFS30'
350088, 'PFI10'
341184, 'SFS30'
336318, 'PFI10'
365026, 'SFS30'
344956, 'PFI10'
328640, 'PFI10'
339003, 'PFI10'
339017, 'PFI10'
327229, 'SFS30'
323729, 'SFS30'
348163, 'SFS30'
339942, 'PFI10'
355126, 'PFI10'
348611, 'PFI10'
339956, 'PFI10'
349241, 'PFI10'
346600, 'PFI10'
349255, 'PFI10'
316989, 'PFI10'
321472, 'PFI10'
332368, 'PFI10'
340932, 'PFI10'
335375, 'SFS30'
342843, 'PFI10'
339201, 'PFI10'
366077, 'SFS30'
343220, 'PFI10'
336867, 'PFI10'
325833, 'SFS30'
354774, 'PFI10'
334080, 'PFI10'
349043, 'SFS30'
336697, 'PFI10'
348349, 'PFI10'
336683, 'PFI10'
340715, 'PFI10'
354760, 'SFS30'
320618, 'SFS30'
338725, 'PFI10'
340846, 'PFI10'
331067, 'PFI10'
331701, 'SFS30'
365378, 'PFI11'
316396, 'PFI10'
337358, 'PFI10'
330351, 'PFI10'
338719, 'PFI10'
339407, 'SFS30'
336734, 'SFS30'
341231, 'PFI11'
348573, 'PFI10'
315112, 'SFS30'
348201, 'PFI10'
367584, 'PFI10'
320817, 'SFS30'
343432, 'PFI10'
365393, 'PFI10'
